[2023-08-28 11:34:08,979] [INFO] Connecting to GitLab
[2023-08-28 11:34:09,022] [DEBUG] Starting new HTTP connection (1): ec2-13-213-8-55.ap-southeast-1.compute.amazonaws.com:80
[2023-08-28 11:34:09,095] [DEBUG] http://ec2-13-213-8-55.ap-southeast-1.compute.amazonaws.com:80 "GET /api/v4/user HTTP/1.1" 200 None
[2023-08-28 11:34:09,096] [INFO] Done.
[2023-08-28 11:34:09,096] [INFO] Connecting to LDAP
[2023-08-28 11:34:09,099] [INFO] Done.
[2023-08-28 11:34:09,099] [INFO] Getting all groups from GitLab.
[2023-08-28 11:34:09,131] [DEBUG] http://ec2-13-213-8-55.ap-southeast-1.compute.amazonaws.com:80 "GET /api/v4/groups HTTP/1.1" 200 2
[2023-08-28 11:34:09,132] [INFO] Done.
[2023-08-28 11:34:09,132] [INFO] Getting all groups from LDAP.
[2023-08-28 11:34:09,137] [INFO] Done.
[2023-08-28 11:34:09,137] [INFO] Groups currently in GitLab : 
[2023-08-28 11:34:09,137] [INFO] Groups currently in LDAP : osp, rtgs, sss
[2023-08-28 11:34:09,137] [INFO] Syncing Groups from LDAP.
[2023-08-28 11:34:09,138] [INFO] Working on group osp ...
[2023-08-28 11:34:09,138] [INFO] |- Group not existing in GitLab, creating.
[2023-08-28 11:34:10,148] [DEBUG] http://ec2-13-213-8-55.ap-southeast-1.compute.amazonaws.com:80 "POST /api/v4/groups HTTP/1.1" 201 711
[2023-08-28 11:34:10,149] [INFO] |- Working on group's members.
[2023-08-28 11:34:10,150] [INFO] Done.
[2023-08-28 11:34:10,150] [INFO] Working on group rtgs ...
[2023-08-28 11:34:10,150] [INFO] |- Group not existing in GitLab, creating.
[2023-08-28 11:34:11,180] [DEBUG] http://ec2-13-213-8-55.ap-southeast-1.compute.amazonaws.com:80 "POST /api/v4/groups HTTP/1.1" 201 717
[2023-08-28 11:34:11,181] [INFO] |- Working on group's members.
[2023-08-28 11:34:11,181] [INFO] Done.
[2023-08-28 11:34:11,181] [INFO] Working on group sss ...
[2023-08-28 11:34:11,182] [INFO] |- Group not existing in GitLab, creating.
[2023-08-28 11:34:11,349] [DEBUG] http://ec2-13-213-8-55.ap-southeast-1.compute.amazonaws.com:80 "POST /api/v4/groups HTTP/1.1" 201 711
[2023-08-28 11:34:11,350] [INFO] |- Working on group's members.
[2023-08-28 11:34:11,350] [INFO] Done.
[2023-08-28 11:34:11,350] [INFO] Done.
[2023-08-28 11:34:11,350] [INFO] Cleaning membership of LDAP Groups
[2023-08-28 11:34:11,350] [INFO] Working on group osp ...
[2023-08-28 11:34:11,350] [INFO] |- Working on group's members.
[2023-08-28 11:34:11,350] [INFO] |- Done.
[2023-08-28 11:34:11,350] [INFO] Done
[2023-08-28 11:34:11,350] [INFO] Working on group rtgs ...
[2023-08-28 11:34:11,350] [INFO] |- Working on group's members.
[2023-08-28 11:34:11,350] [INFO] |- Done.
[2023-08-28 11:34:11,350] [INFO] Done
[2023-08-28 11:34:11,350] [INFO] Working on group sss ...
[2023-08-28 11:34:11,350] [INFO] |- Working on group's members.
[2023-08-28 11:34:11,350] [INFO] |- Done.
[2023-08-28 11:34:11,351] [INFO] Done
